id,question_type,business_type,difficulty,is_required,remark,question_content,answer,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,created_at,updated_at,analysis
000059fb-83bc-4556-b0ec-3e40261f0087,判断题,特殊食品生产,易,是,,某面包厂的进货查验记录中记录了原料鸡蛋的生产日期、保质期等信息，可以不记录进货日期,错,,,,,,,,,,,2026-04-03 08:26:50.677917+00,2026-04-03 08:26:50.677917+00,《食品安全法》第五十条规定，食品生产者采购食品原料，应如实记录原料名称、规格、数量、生产日期或批号、保质期、进货日期及供货者名称、联系方式、许可证编号。进货日期为法定必录项，不可省略。
000a78f4-0343-4ebb-b257-bca891da4b53,多选题,特殊食品生产,易,是,,食品生产中下列哪些情形可能发生交叉污染（？？？）。,"A,B,C,D",生产车间工艺布局不合理,防虫设施不足或放置不合理,包装材料消毒不彻底,车间洁净度不够,,,,,,,2026-04-03 08:25:51.064053+00,2026-04-03 08:25:51.064053+00,GB 14881规定，生产车间工艺布局不合理、防虫设施不足、包装材料消毒不彻底、车间洁净度不够均可能导致交叉污染。四项均为典型交叉污染途径。
0017d568-9bce-412c-957a-fc925bc25896,单选题,特殊食品生产,易,是,,特殊医学用途配方食品注册管理，应当遵循（  ）的原则。,B,依申请,公开、公正,证据确凿,程序合法,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,《特殊医学用途配方食品注册管理办法》规定，特殊医学用途配方食品注册管理应遵循科学、公开、公平、公正的原则。'公开、公正'为基本原则之一。
0044264f-2852-41d5-9ee1-adda69e78a53,多选题,食品流通,易,是,,根据国家市场监督管理总局《企业落实食品安全主体责任监督管理规定》，落实食品安全风险防控的基本要求包括（   ）,"A,B,C",建立食品安全责任体系,配备食品安全管理人员,制定食品安全风险管控清单,恪守诚信意识,,,,,,,2026-04-03 08:26:28.065186+00,2026-04-03 08:26:28.065186+00,《企业落实食品安全主体责任监督管理规定》要求企业建立食品安全责任体系、配备食品安全管理人员、制定风险管控清单。
00913c49-6565-452c-9bc5-baa7d947abcc,单选题,食品生产,易,是,,采用罐头杀菌工艺的婴幼儿辅助食品生产企业应具有（  ）名以上的杀菌操作人员。,B,1名,2名,3名,4名,,,,,,,2026-04-03 08:24:08.030283+00,2026-04-03 08:24:08.030283+00,《婴幼儿辅助食品生产许可审查细则》规定，采用罐头杀菌工艺的婴幼儿辅助食品生产企业应具有2名以上的杀菌操作人员。
009a99b0-0630-4518-a314-9fa53690fd0f,单选题,食品生产,易,是,,食品加工用水的水质应符合（）的规定，对加工用水水质有特殊要求的食品应符合相应规定。,A,GB 5749,GB 5750,GB 5650,GB 5751,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,正确答案为A。根据《中华人民共和国食品安全法》及相关法规标准规定，GB 5749。其他选项不符合相关法规要求。
00a6236c-c018-44e0-9106-209b41cdea05,单选题,食品生产,易,是,,根据《食品安全国家标准 粮食》（GB 2715），高粱米单宁（以干基计）≤（）。,B,0.002,0.003,0.004,0.005,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,GB 2715《食品安全国家标准 粮食》规定，高粱米单宁（以干基计）≤0.003。
00c10c0f-5d76-4d7e-b9b2-95b70fa7ac51,判断题,食品流通,易,是,,应当定期检查库存食品，及时处理变质或临近保质期的食品。,错,,,,,,,,,,,2026-04-03 08:28:05.597861+00,2026-04-03 08:28:05.597861+00,题目表述为'应当定期检查'本身是法定要求，但判断为'错'可能因题目有其他错误表述。《食品安全法》第五十四条确实规定了定期检查库存的要求。需结合题目完整内容判断。
00c2c933-dcb9-420f-920d-bdcb1f240002,多选题,特殊食品流通,易,是,,食品经营企业未制定食品安全事故处置方案，应给予下例哪项行政处罚（）,"A,C,D",责令改正，给予警告,拒不改正的，处二千元以上罚款,拒不改正的，处五千元以上五万元以下罚款,情节严重的，责令停产停业，直至吊销许可证,,,,,,,2026-04-03 08:25:51.064053+00,2026-04-03 08:25:51.064053+00,《食品安全法》第一百二十六条规定，未制定食品安全事故处置方案的，责令改正给予警告；拒不改正的处五千至五万元罚款；情节严重的责令停产停业直至吊销许可证。
00cdb1ee-a4de-4402-86e6-5832dc6352f0,多选题,食品流通,易,否,,保健食品广告不得含有下列内容：,"A,B,C,D",表示功效、安全性的断言或者保证；声称或者暗示广告商品为保障健康所必需；,涉及疾病预防、治疗功能；,与药品、其他保健食品进行比较；,利用广告代言人作推荐、证明；,,,,,,,2026-04-03 08:26:50.677917+00,2026-04-03 08:26:50.677917+00,《食品安全法》第七十九条及《广告法》第十八条规定，保健食品广告不得含功效安全性断言、疾病预防治疗功能、与药品比较、利用代言人推荐证明等内容。
