id,question_type,business_type,difficulty,is_required,remark,question_content,answer,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,created_at,updated_at,analysis
000059fb-83bc-4556-b0ec-3e40261f0087,判断题,特殊食品生产,易,是,,某面包厂的进货查验记录中记录了原料鸡蛋的生产日期、保质期等信息，可以不记录进货日期,错,,,,,,,,,,,2026-04-03 08:26:50.677917+00,2026-04-03 08:26:50.677917+00,"【法律依据】
依据《中华人民共和国食品安全法》第50条规定：食品生产企业应当建立食品原料、食品添加剂、食品相关产品进货查验记录制度，如实记录食品原料、食品添加剂、食品相关产品的名称、规格、数量、生产日期或者生产批号、保质期、进货日期以及供货者名称、地址、联系方式等内容，并保存相关凭证。

【判定分析】
❌ 该表述错误。《食品安全法》第50条明确规定进货查验记录应包含'进货日期'，与生产日期、保质期并列为法定必录项，不可省略。进货日期是食品追溯链条的关键节点。
正确答案：错

【核心要点】
《中华人民共和国食品安全法》第50条明确规定：食品生产企业应当建立食品原料、食品添加剂、食品相关产品进货查验记录制度，如实记录食品原料、食品添加剂、食品相关产品的名称、规格、数量、生产日期或者生产批号、保质期、进货日期以及供货者名称、地址、联系方式等内容，并保存相关凭证。

【实务提示】
企业应建立完整的进货查验台账，确保所有法定要素齐全。进货日期是追溯的关键节点，有助于快速定位问题批次。建议采用信息化管理系统记录。"
000a78f4-0343-4ebb-b257-bca891da4b53,多选题,特殊食品生产,易,是,,食品生产中下列哪些情形可能发生交叉污染（？？？）。,"A,B,C,D",生产车间工艺布局不合理,防虫设施不足或放置不合理,包装材料消毒不彻底,车间洁净度不够,,,,,,,2026-04-03 08:25:51.064053+00,2026-04-03 08:25:51.064053+00,"【法律依据】
依据《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条规定：厂房和车间的内部设计和布局应满足食品卫生操作要求，避免食品生产中发生交叉污染。

【选项分析】
A. 生产车间工艺布局不合理 ✅ — 符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条的规定要求。
B. 防虫设施不足或放置不合理 ✅ — 符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条的规定要求。
C. 包装材料消毒不彻底 ✅ — 符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条的规定要求。
D. 车间洁净度不够 ✅ — 符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条的规定要求。
正确答案：A,B,C,D

【核心要点】
《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第4.1.1条明确规定：厂房和车间的内部设计和布局应满足食品卫生操作要求，避免食品生产中发生交叉污染。

【实务提示】
企业应定期进行交叉污染风险评估，通过SSOP规范各区域清洁消毒流程。建议按照'原料→半成品→成品'的单一方向设计工艺流程，避免交叉和回流。"
0017d568-9bce-412c-957a-fc925bc25896,单选题,特殊食品生产,易,是,,特殊医学用途配方食品注册管理，应当遵循（  ）的原则。,B,依申请,公开、公正,证据确凿,程序合法,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,"【法律依据】
依据《特殊医学用途配方食品注册管理办法》第3条规定：特殊医学用途配方食品注册管理，应当遵循科学、公开、公平、公正的原则。

【选项分析】
A. 依申请 ❌ — 依申请是注册程序的启动方式，但不是注册管理应遵循的核心原则。
B. 公开、公正 ✅ — 《特殊医学用途配方食品注册管理办法》第3条明确规定注册管理应遵循科学、公开、公平、公正的原则。
C. 证据确凿 ❌ — 证据确凿是行政执法的一般要求，不是特医食品注册管理的特定原则。
D. 程序合法 ❌ — 程序合法是行政行为的基本要求，但不是该办法规定的特定原则。
正确答案：B

【核心要点】
《特殊医学用途配方食品注册管理办法》第3条明确规定：特殊医学用途配方食品注册管理，应当遵循科学、公开、公平、公正的原则。

【实务提示】
建议企业引入HACCP等先进食品安全管理体系，系统防控食品安全风险。"
0044264f-2852-41d5-9ee1-adda69e78a53,多选题,食品流通,易,是,,根据国家市场监督管理总局《企业落实食品安全主体责任监督管理规定》，落实食品安全风险防控的基本要求包括（   ）,"A,B,C",建立食品安全责任体系,配备食品安全管理人员,制定食品安全风险管控清单,恪守诚信意识,,,,,,,2026-04-03 08:26:28.065186+00,2026-04-03 08:26:28.065186+00,"【法律依据】
依据《企业落实食品安全主体责任监督管理规定》（2022年第60号令）第10条规定：食品安全总监或者食品安全员每周至少组织1次风险隐患排查，分析研判食品安全管理情况，研究解决日管控中发现的问题，形成《每周食品安全排查治理报告》。

【选项分析】
A. 建立食品安全责任体系 ✅ — 《60号令》第6条要求企业建立食品安全责任体系，落实食品安全责任制。
B. 配备食品安全管理人员 ✅ — 《60号令》第6条要求依法配备食品安全总监和食品安全员。
C. 制定食品安全风险管控清单 ✅ — 《60号令》第6条要求制定食品安全风险管控清单，建立日管控、周排查、月调度工作机制。
D. 恪守诚信意识 ❌ — 虽然诚信是食品经营者应遵循的道德要求，但不属于《60号令》中落实食品安全风险防控的具体制度要求。
正确答案：A,B,C

【核心要点】
《企业落实食品安全主体责任监督管理规定》（2022年第60号令）第10条明确规定：食品安全总监或者食品安全员每周至少组织1次风险隐患排查，分析研判食品安全管理情况，研究解决日管控中发现的问题，形成《每周食品安全排查治理报告》。

【实务提示】
企业应建立供应商审核制度，严格把控原料采购关，确保原料质量安全。"
00913c49-6565-452c-9bc5-baa7d947abcc,单选题,食品生产,易,是,,采用罐头杀菌工艺的婴幼儿辅助食品生产企业应具有（  ）名以上的杀菌操作人员。,B,1名,2名,3名,4名,,,,,,,2026-04-03 08:24:08.030283+00,2026-04-03 08:24:08.030283+00,"【法律依据】
依据《婴幼儿辅助食品生产许可审查细则》相关规定规定：采用罐头杀菌工艺的婴幼儿辅助食品生产企业应具有2名以上经专业培训合格的杀菌操作人员。

【选项分析】
A. 1名 ❌ — 1名低于法定最低人数要求，婴幼儿辅助食品属于高风险食品，杀菌工序需要至少2名操作人员以确保关键控制点受控。
B. 2名 ✅ — 《婴幼儿辅助食品生产许可审查细则》明确规定，采用罐头杀菌工艺的企业应具有2名以上经专业培训合格的杀菌操作人员。
C. 3名 ❌ — 虽满足要求，但不是法规规定的最低人数。2名是最低法定要求。
D. 4名 ❌ — 虽满足要求，但不是法规规定的最低人数。2名是最低法定要求。
正确答案：B

【核心要点】
《婴幼儿辅助食品生产许可审查细则》相关规定明确规定：采用罐头杀菌工艺的婴幼儿辅助食品生产企业应具有2名以上经专业培训合格的杀菌操作人员。

【实务提示】
食品生产经营者应加强从业人员培训，提高食品安全意识，严格遵守操作规程。"
009a99b0-0630-4518-a314-9fa53690fd0f,单选题,食品生产,易,是,,食品加工用水的水质应符合（）的规定，对加工用水水质有特殊要求的食品应符合相应规定。,A,GB 5749,GB 5750,GB 5650,GB 5751,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,"【法律依据】
依据《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条规定：食品加工用水的水质应符合GB 5749的规定，对加工用水水质有特殊要求的食品应符合相应规定。

【选项分析】
A. GB 5749 ✅ — 符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条的规定要求。
B. GB 5750 ❌ — 不符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条的规定要求。
C. GB 5650 ❌ — 不符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条的规定要求。
D. GB 5751 ❌ — 不符合《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条的规定要求。
正确答案：A

【核心要点】
《食品安全国家标准 食品生产通用卫生规范》（GB 14881-2013）第5.1.1.2条明确规定：食品加工用水的水质应符合GB 5749的规定，对加工用水水质有特殊要求的食品应符合相应规定。

【实务提示】
企业应定期组织食品安全自查，发现问题及时整改，确保持续合规。"
00a6236c-c018-44e0-9106-209b41cdea05,单选题,食品生产,易,是,,根据《食品安全国家标准 粮食》（GB 2715），高粱米单宁（以干基计）≤（）。,B,0.002,0.003,0.004,0.005,,,,,,,2026-04-03 08:23:41.179811+00,2026-04-03 08:23:41.179811+00,"【法律依据】
依据《中华人民共和国食品安全法》第33条/第34条规定：食品生产经营应当符合食品安全标准，禁止生产经营不符合食品安全标准的食品。

【选项分析】
A. 0.002 ❌ — 不符合《中华人民共和国食品安全法》第33条/第34条的规定要求。
B. 0.003 ✅ — 符合《中华人民共和国食品安全法》第33条/第34条的规定要求。
C. 0.004 ❌ — 不符合《中华人民共和国食品安全法》第33条/第34条的规定要求。
D. 0.005 ❌ — 不符合《中华人民共和国食品安全法》第33条/第34条的规定要求。
正确答案：B

【核心要点】
《中华人民共和国食品安全法》第33条/第34条明确规定：食品生产经营应当符合食品安全标准，禁止生产经营不符合食品安全标准的食品。

【实务提示】
企业应定期组织食品安全自查，发现问题及时整改，确保持续合规。"
00c10c0f-5d76-4d7e-b9b2-95b70fa7ac51,判断题,食品流通,易,是,,应当定期检查库存食品，及时处理变质或临近保质期的食品。,错,,,,,,,,,,,2026-04-03 08:28:05.597861+00,2026-04-03 08:28:05.597861+00,"【法律依据】
依据《中华人民共和国食品安全法》第47条规定：食品生产经营者应当建立食品安全自查制度，定期对食品安全状况进行检查评价。生产经营条件发生变化，不再符合食品安全要求的，食品生产经营者应当立即采取整改措施。

【判定分析】
❌ 该表述错误。不符合《中华人民共和国食品安全法》的规定。
正确答案：错

【核心要点】
《中华人民共和国食品安全法》第47条明确规定：食品生产经营者应当建立食品安全自查制度，定期对食品安全状况进行检查评价。生产经营条件发生变化，不再符合食品安全要求的，食品生产经营者应当立即采取整改措施。

【实务提示】
食品生产经营者应加强从业人员培训，提高食品安全意识，严格遵守操作规程。"
00c2c933-dcb9-420f-920d-bdcb1f240002,多选题,特殊食品流通,易,是,,食品经营企业未制定食品安全事故处置方案，应给予下例哪项行政处罚（）,"A,C,D",责令改正，给予警告,拒不改正的，处二千元以上罚款,拒不改正的，处五千元以上五万元以下罚款,情节严重的，责令停产停业，直至吊销许可证,,,,,,,2026-04-03 08:25:51.064053+00,2026-04-03 08:25:51.064053+00,"【法律依据】
依据《中华人民共和国食品安全法》第102条规定：国务院组织制定国家食品安全事故应急预案。县级以上地方人民政府应当根据有关法律、法规的规定和上级人民政府的食品安全事故应急预案以及本行政区域的实际情况，制定本行政区域的食品安全事故应急预案。

【选项分析】
A. 责令改正，给予警告 ✅ — 符合《中华人民共和国食品安全法》第102条的规定要求。
B. 拒不改正的，处二千元以上罚款 ❌ — 不符合《中华人民共和国食品安全法》第102条的规定要求。
C. 拒不改正的，处五千元以上五万元以下罚款 ✅ — 符合《中华人民共和国食品安全法》第102条的规定要求。
D. 情节严重的，责令停产停业，直至吊销许可证 ✅ — 符合《中华人民共和国食品安全法》第102条的规定要求。
正确答案：A,C,D

【核心要点】
《中华人民共和国食品安全法》第102条明确规定：国务院组织制定国家食品安全事故应急预案。县级以上地方人民政府应当根据有关法律、法规的规定和上级人民政府的食品安全事故应急预案以及本行政区域的实际情况，制定本行政区域的食品安全事故应急预案。

【实务提示】
企业应建立完善的记录和台账管理制度，确保食品安全追溯体系有效运行。"
00cdb1ee-a4de-4402-86e6-5832dc6352f0,多选题,食品流通,易,否,,保健食品广告不得含有下列内容：,"A,B,C,D",表示功效、安全性的断言或者保证；声称或者暗示广告商品为保障健康所必需；,涉及疾病预防、治疗功能；,与药品、其他保健食品进行比较；,利用广告代言人作推荐、证明；,,,,,,,2026-04-03 08:26:50.677917+00,2026-04-03 08:26:50.677917+00,"【法律依据】
依据《中华人民共和国食品安全法》第78条规定：保健食品广告不得涉及疾病预防、治疗功能，不得含有虚假内容，应当声明""本品不能代替药物""。

【选项分析】
A. 表示功效、安全性的断言或者保证；声称或者暗示广告商品为保障健康所必需； ✅ — 符合《中华人民共和国食品安全法》第78条的规定要求。
B. 涉及疾病预防、治疗功能； ✅ — 符合《中华人民共和国食品安全法》第78条的规定要求。
C. 与药品、其他保健食品进行比较； ✅ — 符合《中华人民共和国食品安全法》第78条的规定要求。
D. 利用广告代言人作推荐、证明； ✅ — 符合《中华人民共和国食品安全法》第78条的规定要求。
正确答案：A,B,C,D

【核心要点】
《中华人民共和国食品安全法》第78条明确规定：保健食品广告不得涉及疾病预防、治疗功能，不得含有虚假内容，应当声明""本品不能代替药物""。

【实务提示】
食品生产经营者应加强从业人员培训，提高食品安全意识，严格遵守操作规程。"
